variables,metric,Z
total_waste_produced_per_day,0.038221028740181406,6.307793129334058
status_of_first_dumpsite,0.040463749386490555,5.410100962783304
status_of_second_dumpsite,0.040316694096736216,5.386934875104837
no_of_mr_fs,0.04032949535208652,5.460306897360548
no_of_brgys_served_by_mrf,0.0399727899995459,5.4579561301234545
no_of_operational_slf,0.04023925194568789,5.499124730346384
no_of_lg_us_served_by_slf,0.040074457335565694,5.490412628280315
total_waste_received_by_slf,0.04042818591536912,5.413876214303018
slf_site_operational,0.04052844021412516,5.438421663588332
has_rca,0.04017859676506075,5.4659054567485805
has_private_hauler,0.040382192514042736,5.363709034619778
has_special_waste_storage,0.040698619401609126,5.413596450275447
has_composting,0.040387700194931875,5.3860574173719815
level_of_segregation_during_collection,0.04034291189328787,5.435892951900869
biodegradable_waste_produced_per_day,0.04058743689310329,5.3632850014050595
recyclable_waste_produced_per_day,0.04060869418060642,5.40109031717797
residual_waste_produced_per_day,0.04039595088008863,5.397802788120442
special_waste_produced_per_day,0.040538567157552,5.411840793620787
is_a_city,0.04056365890557112,5.368719366224411
no_of_brgys,0.04111464958843536,5.400238900146676
population,0.04070941243593962,5.421738751579931
has_swmp_approved,0.040688424470762374,5.361751159320397
year,0.04023633704323515,5.481008649468617
week,0.08129573922666966,16.707289735766864
